COG	GC127836	GC127826	GC127844	GC127827	GC127837	GC127845	GC127855	GC127871	GC127868	GC127847	GC127835	GC127825	GC127846	GC127856	GC127834	GC125610	GC127828	GC127838	GC127853	GC127843	GC127831	GC127852	GC127830	GC125618	GC127839	GC127829	GC125611	GC127864	GC127874	GC127832	GC127840	GC127849	GC127866	GC127848	GC125612	GC127867	GC127833	GC127841
2DPK3	5.0	0.0	19.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	4.0	2.0	0.0	56.0	0.0	10.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0	2.0	0.0	20.0	2.0
COG1813	3162.0	1451.0	6050.0	2403.0	1874.0	1381.0	821.0	5.0	0.0	381.0	2535.0	489.0	507.0	6.0	4267.0	820.0	1288.0	4228.0	74.0	2868.0	1855.0	28.0	5339.0	0.0	4156.0	1879.0	3420.0	38004.0	122.0	4978.0	1442.0	317.0	228.0	484.0	2793.0	343.0	3030.0	1413.0
COG3637	36582.0	18491.0	65053.0	29365.0	16164.0	22132.0	8215.0	386.0	143.0	2037.0	18869.0	2674.0	4786.0	478.0	44164.0	8263.0	14459.0	39570.0	4956.0	24531.0	40581.0	255.0	55078.0	7711.0	40995.0	21906.0	29795.0	386.0	1279.0	58520.0	13248.0	2032.0	948.0	2463.0	32457.0	2819.0	40714.0	13765.0
COG3210	808010.0	1439107.0	619852.0	680539.0	346338.0	372885.0	224360.0	3950.0	1842.0	77591.0	677651.0	122675.0	144071.0	1923.0	879050.0	227127.0	366575.0	665197.0	77909.0	1348127.0	741061.0	22360.0	349430.0	1645.0	615292.0	532793.0	560151.0	1070.0	11254.0	460612.0	393287.0	142106.0	49683.0	134078.0	1351051.0	86546.0	864809.0	370545.0
COG1088	29902.0	50422.0	22561.0	24487.0	13763.0	14629.0	7470.0	344.0	369.0	2387.0	20699.0	4243.0	5072.0	220.0	34733.0	7389.0	13454.0	28505.0	2343.0	43713.0	17045.0	727.0	15135.0	352.0	18609.0	20169.0	18926.0	10131.0	1071.0	23765.0	13621.0	5054.0	2759.0	4630.0	40011.0	2909.0	30463.0	12810.0
COG2133	24037.0	9283.0	30080.0	14140.0	12616.0	9939.0	15461.0	206.0	370.0	8963.0	20613.0	2625.0	27757.0	216.0	14262.0	6376.0	6260.0	38801.0	3040.0	15262.0	26937.0	697.0	22038.0	2468.0	28352.0	14068.0	11041.0	100437.0	623.0	14350.0	9905.0	10276.0	1238.0	12946.0	22254.0	4912.0	24506.0	11138.0
COG2863	34477.0	48441.0	22314.0	24632.0	17044.0	15504.0	19355.0	324.0	342.0	4392.0	29373.0	7213.0	6818.0	175.0	35439.0	8505.0	14094.0	42664.0	3448.0	47496.0	29747.0	823.0	19975.0	330.0	27712.0	22645.0	26545.0	4.0	957.0	31418.0	16102.0	7509.0	5070.0	7825.0	41547.0	7897.0	33033.0	18080.0
28U76	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	30.0	28.0	0.0	18.0	0.0	0.0	2.0	0.0
COG0305	57610.0	63601.0	61549.0	49342.0	29727.0	25033.0	10540.0	687.0	845.0	4353.0	39577.0	24782.0	8623.0	627.0	61052.0	28632.0	24885.0	52594.0	3550.0	61739.0	34082.0	985.0	43276.0	1078.0	50205.0	32747.0	33468.0	42223.0	1702.0	58686.0	31652.0	7064.0	2693.0	6261.0	79526.0	4276.0	82677.0	28343.0
COG2015	32227.0	55690.0	16172.0	25756.0	13285.0	14518.0	2271.0	374.0	87.0	1803.0	20511.0	6631.0	4862.0	108.0	42386.0	9812.0	15708.0	15170.0	720.0	47400.0	22005.0	100.0	10680.0	1309.0	17838.0	30179.0	18361.0	96.0	741.0	21314.0	13916.0	1532.0	292.0	2457.0	45617.0	1056.0	29499.0	13709.0
